sale_id,product_id,sale_date,quantity_sold,unit_price,channel,region,discount_pct,is_returned,created_at
1,1,2024-01-01,1,823.88,wholesale,North,5.0,False,2024-01-01
385,2,2024-01-01,1,64.16,retail,West,0.0,False,2024-01-01
386,2,2024-01-01,22,64.16,online,South,0.0,False,2024-01-01
1030,3,2024-01-01,2,33.07,retail,West,0.0,False,2024-01-01
1624,4,2024-01-01,1,587.7,retail,North,0.0,False,2024-01-01
1931,5,2024-01-01,3,493.84,retail,Central,0.0,False,2024-01-01
2492,6,2024-01-01,2,245.96,online,Central,15.0,False,2024-01-01
3072,7,2024-01-01,3,22.33,online,Central,0.0,False,2024-01-01
3669,8,2024-01-01,1,114.43,online,West,10.0,False,2024-01-01
4272,9,2024-01-01,1,244.14,retail,East,0.0,False,2024-01-01
4863,10,2024-01-01,1,102.69,online,East,5.0,False,2024-01-01
5342,11,2024-01-01,18,9.03,retail,Central,0.0,False,2024-01-01
5942,12,2024-01-01,1,384.17,online,East,0.0,False,2024-01-01
6578,14,2024-01-01,3,117.71,online,Central,0.0,False,2024-01-01
7169,15,2024-01-01,1,7.27,retail,East,0.0,False,2024-01-01
7170,15,2024-01-01,2,6.54,online,West,10.0,False,2024-01-01
7774,16,2024-01-01,3,397.12,online,North,10.0,False,2024-01-01
8340,17,2024-01-01,1,506.43,online,South,10.0,False,2024-01-01
8836,18,2024-01-01,2,204.73,retail,North,5.0,False,2024-01-01
9438,19,2024-01-01,7,40.43,retail,Central,0.0,False,2024-01-01
9439,19,2024-01-01,4,40.43,retail,North,0.0,False,2024-01-01
9440,19,2024-01-01,2,40.43,retail,West,0.0,False,2024-01-01
10053,20,2024-01-01,1,140.74,online,East,0.0,False,2024-01-01
10485,21,2024-01-01,2,273.22,retail,North,5.0,False,2024-01-01
10894,22,2024-01-01,1,33.1,online,East,0.0,False,2024-01-01
10895,22,2024-01-01,10,31.45,retail,Central,5.0,False,2024-01-01
10896,22,2024-01-01,6,31.45,online,North,5.0,False,2024-01-01
11507,23,2024-01-01,1,34.14,wholesale,West,0.0,True,2024-01-01
11508,23,2024-01-01,8,32.43,retail,Central,5.0,False,2024-01-01
11509,23,2024-01-01,25,29.02,retail,East,15.0,False,2024-01-01
12149,24,2024-01-01,2,293.47,retail,North,0.0,False,2024-01-01
12747,25,2024-01-01,4,82.85,online,Central,0.0,False,2024-01-01
13338,26,2024-01-01,2,69.11,online,South,0.0,False,2024-01-01
13983,27,2024-01-01,5,32.45,online,North,5.0,False,2024-01-01
14603,28,2024-01-01,4,311.96,online,North,10.0,False,2024-01-01
15194,29,2024-01-01,1,219.49,online,West,0.0,False,2024-01-01
15648,30,2024-01-01,1,104.2,retail,South,20.0,False,2024-01-01
16652,32,2024-01-01,1,516.69,online,Central,0.0,False,2024-01-01
17180,33,2024-01-01,2,400.11,wholesale,North,0.0,False,2024-01-01
17798,34,2024-01-01,1,281.0,online,Central,0.0,False,2024-01-01
18161,35,2024-01-01,17,26.23,online,South,20.0,False,2024-01-01
18765,36,2024-01-01,2,188.79,retail,West,0.0,False,2024-01-01
19514,38,2024-01-01,4,91.43,online,East,0.0,False,2024-01-01
19515,38,2024-01-01,4,91.43,retail,North,0.0,False,2024-01-01
20123,39,2024-01-01,30,15.16,retail,East,20.0,False,2024-01-01
20706,40,2024-01-01,1,338.86,retail,East,0.0,False,2024-01-01
